Node 9, start at 470, n: 13, c:13
Node 10, start at 63, n: 13, c:13
Node 11, start at 737, n: 13, c:13
Node 12, start at 749, n: 13, c:13
Node 13, start at 460, n: 13, c:13
Node 14, start at 111, n: 13, c:13
Node 15, start at 610, n: 13, c:13
Node 16, start at 531, n: 13, c:13
Node 17, start at 838, n: 13, c:13
Node 18, start at 54, n: 13, c:13
Node 19, start at 317, n: 13, c:13
Node 20, start at 340, n: 13, c:13
Node 0, start at 793, n: 5, c:5
Node 1, start at 922, n: 3, c:3
Node 2, start at 109, n: 3, c:3
Node 3, start at 481, n: 5, c:5
Node 4, start at 239, n: 11, c:11
Node 5, start at 343, n: 5, c:5
Node 6, start at 571, n: 7, c:7
Node 7, start at 819, n: 3, c:3
Node 8, start at 898, n: 5, c:5
Node 9, start at 557, n: 7, c:7
Node 10, start at 773, n: 13, c:13
Node 11, start at 177, n: 5, c:5
Node 12, start at 472, n: 7, c:7
Node 13, start at 751, n: 11, c:11
Node 14, start at 867, n: 3, c:3
Node 15, start at 607, n: 3, c:3
Node 16, start at 566, n: 3, c:3
Node 17, start at 938, n: 11, c:11
Node 18, start at 380, n: 3, c:3
Node 19, start at 388, n: 5, c:5
Node 20, start at 508, n: 3, c:3
Node 0, start at 793, n: 13, c:13
Node 1, start at 922, n: 13, c:13
Node 2, start at 109, n: 13, c:13
Node 3, start at 481, n: 13, c:13
Node 4, start at 239, n: 13, c:13
Node 5, start at 343, n: 13, c:13
Node 6, start at 571, n: 13, c:13
Node 7, start at 819, n: 13, c:13
Node 8, start at 898, n: 13, c:13
Node 9, start at 557, n: 13, c:13
Node 10, start at 773, n: 13, c:13
Node 11, start at 177, n: 13, c:13
Node 12, start at 472, n: 13, c:13
Node 13, start at 751, n: 13, c:13
Node 14, start at 867, n: 13, c:13
Node 15, start at 607, n: 13, c:13
Node 16, start at 566, n: 13, c:13
Node 17, start at 938, n: 13, c:13
Node 18, start at 380, n: 13, c:13
Node 19, start at 388, n: 13, c:13
Node 20, start at 508, n: 13, c:13
Node 0, start at 884, n: 5, c:5
Node 1, start at 824, n: 7, c:7
Node 2, start at 944, n: 3, c:3
Node 3, start at 780, n: 3, c:3
Node 4, start at 482, n: 7, c:7
Node 5, start at 306, n: 7, c:7
Node 6, start at 487, n: 5, c:5
Node 7, start at 725, n: 5, c:5
Node 8, start at 754, n: 3, c:3
Node 9, start at 324, n: 11, c:11
Node 10, start at 310, n: 3, c:3
Node 11, start at 529, n: 11, c:11
Node 12, start at 542, n: 3, c:3
Node 13, start at 414, n: 3, c:3
Node 14, start at 224, n: 13, c:13
Node 15, start at 128, n: 5, c:5
