Node 1, start at 115, n: 7, c:7
Node 2, start at 905, n: 11, c:11
Node 3, start at 456, n: 5, c:5
Node 4, start at 964, n: 5, c:5
Node 5, start at 933, n: 11, c:11
Node 6, start at 391, n: 13, c:13
Node 7, start at 592, n: 5, c:5
Node 8, start at 425, n: 13, c:13
Node 9, start at 620, n: 7, c:7
Node 10, start at 702, n: 3, c:3
Node 11, start at 918, n: 5, c:5
Node 12, start at 462, n: 7, c:7
Node 13, start at 274, n: 13, c:13
Node 14, start at 264, n: 5, c:5
Node 15, start at 54, n: 5, c:5
Node 16, start at 945, n: 5, c:5
Node 17, start at 535, n: 7, c:7
Node 18, start at 870, n: 3, c:3
Node 19, start at 686, n: 3, c:3
Node 20, start at 667, n: 3, c:3
Node 0, start at 31, n: 5, c:5
