Node 13, start at 835, n: 2, c:11
Node 14, start at 282, n: 2, c:11
Node 15, start at 394, n: 2, c:11
Node 16, start at 882, n: 2, c:11
Node 17, start at 281, n: 2, c:11
Node 18, start at 835, n: 2, c:11
Node 19, start at 872, n: 2, c:11
Node 20, start at 213, n: 2, c:11
Node 0, start at 857, n: 5, c:11
Node 1, start at 350, n: 5, c:11
Node 2, start at 626, n: 2, c:11
Node 3, start at 842, n: 53, c:11
Node 4, start at 77, n: 7, c:11
Node 5, start at 362, n: 2, c:11
Node 6, start at 453, n: 2, c:11
Node 7, start at 102, n: 53, c:11
Node 8, start at 467, n: 53, c:11
Node 9, start at 887, n: 2, c:11
Node 10, start at 401, n: 5, c:11
Node 11, start at 726, n: 5, c:11
Node 12, start at 36, n: 5, c:11
Node 13, start at 55, n: 2, c:11
Node 14, start at 347, n: 5, c:11
Node 15, start at 66, n: 53, c:11
Node 16, start at 139, n: 2, c:11
Node 17, start at 69, n: 2, c:11
Node 18, start at 257, n: 2, c:11
Node 19, start at 268, n: 3, c:11
Node 20, start at 78, n: 3, c:11
Node 0, start at 857, n: 2, c:11
Node 1, start at 350, n: 2, c:11
Node 2, start at 626, n: 2, c:11
Node 3, start at 842, n: 2, c:11
Node 4, start at 77, n: 2, c:11
Node 5, start at 362, n: 2, c:11
Node 6, start at 453, n: 2, c:11
Node 7, start at 102, n: 2, c:11
Node 8, start at 467, n: 2, c:11
Node 9, start at 887, n: 2, c:11
Node 10, start at 401, n: 2, c:11
Node 11, start at 726, n: 2, c:11
Node 12, start at 36, n: 2, c:11
Node 13, start at 55, n: 2, c:11
Node 14, start at 347, n: 2, c:11
Node 15, start at 66, n: 2, c:11
Node 16, start at 139, n: 2, c:11
Node 17, start at 69, n: 2, c:11
Node 18, start at 257, n: 2, c:11
Node 19, start at 268, n: 2, c:11
Node 20, start at 78, n: 2, c:11
Node 0, start at 61, n: 5, c:11
Node 1, start at 673, n: 2, c:11
Node 2, start at 858, n: 2, c:11
Node 3, start at 741, n: 2, c:11
Node 4, start at 132, n: 7, c:11
Node 5, start at 415, n: 5, c:11
Node 6, start at 775, n: 3, c:11
Node 7, start at 64, n: 3, c:11
Node 8, start at 569, n: 3, c:11
Node 9, start at 482, n: 2, c:11
Node 10, start at 477, n: 5, c:11
Node 11, start at 1000, n: 5, c:11
Node 12, start at 347, n: 2, c:11
